query,superpathway,pathway,subpathway,function,id,description,V2,V3
Ga0242637_112180,Experimental Subsystems,unclassified,Experimental-FO,"CofC, F420 2-Phospho-l-lactate Guanylyltransferase",SS16898,"CofC, F420 2-Phospho-l-lactate Guanylyltransferase",45.5,8.50E-27
Ga0242637_112183,Amino Acids and Derivatives,Branched-chain amino acids,Leucine Biosynthesis,3-isopropylmalate dehydratase small subunit (EC 4.2.1.33),SS16012,3-isopropylmalate dehydratase small subunit (EC 4.2.1.33),80.75,5.26E-86
Ga0242637_112184,Amino Acids and Derivatives,Branched-chain amino acids,Leucine Biosynthesis,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33),SS16011,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33),86.4,6.61E-225
Ga0242637_112185,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Homogentisate pathway of aromatic compound degradation,"Transcriptional regulator, IclR family",SS06517,"Transcriptional regulator, IclR family",93.275,1.33E-107
Ga0242637_112187,"Virulence, Disease and Defense",Resistance to antibiotics and toxic compounds,Copper homeostasis,ErfK/YbiS/YcfS/YnhG family protein,SS17326,ErfK/YbiS/YcfS/YnhG family protein,57.9,4.00E-57
Ga0242637_112188,Experimental Subsystems,unclassified,Experimental-FO,F420-dependent glucose-6-phosphate dehydrogenase,SS17368,F420-dependent glucose-6-phosphate dehydrogenase,79.7,9.13E-136
Ga0242637_112191,Clustering-based subsystems,Hypothetical in Lysine biosynthetic cluster,CBSS-323850.3.peg.3269,2-haloalkanoic acid dehalogenase (EC 3.8.1.2),SS02545,2-haloalkanoic acid dehalogenase (EC 3.8.1.2),55.6,2.08E-24
Ga0242637_112192,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Glu and Gln",Glutamyl-tRNA synthetase (EC 6.1.1.17),SS17961,Glutamyl-tRNA synthetase (EC 6.1.1.17),73.9,1.14E-167
Ga0242637_112192,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Glu and Gln",Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24),SS14036,Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24),73.9,1.14E-167
Ga0242637_112193,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Salicylate and gentisate catabolism,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)",SS01391,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)",63.95,5.40E-88
Ga0242637_112193,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Salicylate and gentisate catabolism,Fumarylacetoacetate hydrolase family protein,SS17823,Fumarylacetoacetate hydrolase family protein,62.16666667,2.62E-86
Ga0242637_112201,unclassified,unclassified,Biotin synthesis & utilization,Predicted biotin repressor from TetR family,SS01643,Predicted biotin repressor from TetR family,66.025,1.03E-11
Ga0242637_112202,unclassified,unclassified,YhgH,Biotin synthase (EC 2.8.1.6),SS16589,Biotin synthase (EC 2.8.1.6),76.88571429,4.43E-138
Ga0242637_112203,unclassified,unclassified,YhgH,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62),SS16309,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62),67.9,1.39E-140
Ga0242637_112204,unclassified,unclassified,YhgH,8-amino-7-oxononanoate synthase (EC 2.3.1.47),SS16123,8-amino-7-oxononanoate synthase (EC 2.3.1.47),71.06,5.80E-26
Ga0242637_112205,unclassified,unclassified,YhgH,8-amino-7-oxononanoate synthase (EC 2.3.1.47),SS16123,8-amino-7-oxononanoate synthase (EC 2.3.1.47),98.7,1.60E-38
Ga0242637_112205,unclassified,unclassified,YhgH,Dethiobiotin synthetase (EC 6.3.3.3),SS17154,Dethiobiotin synthetase (EC 6.3.3.3),47.4,2.69E-05
Ga0242637_112206,Amino Acids and Derivatives,Branched-chain amino acids,Branched-Chain Amino Acid Biosynthesis,(R)-citramalate synthase (EC 2.3.1.182),SS01714,(R)-citramalate synthase (EC 2.3.1.182),72.43333333,1.83E-187
Ga0242637_112207,Clustering-based subsystems,Catabolism of an unknown compound,CBSS-262316.1.peg.2929,COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster,SS02334,COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster,63.125,5.38E-58
Ga0242637_112207,unclassified,unclassified,Tryptophan synthesis Chlora tempo,"Anthranilate synthase, amidotransferase component (EC 4.1.3.27)",SS16423,"Anthranilate synthase, amidotransferase component (EC 4.1.3.27)",62.2,8.10E-76
Ga0242637_112208,Clustering-based subsystems,Catabolism of an unknown compound,CBSS-262316.1.peg.2929,Short-chain dehydrogenase/reductase in hypothetical Actinobacterial gene cluster,SS02336,Short-chain dehydrogenase/reductase in hypothetical Actinobacterial gene cluster,85.15,3.35E-108
Ga0242637_112209,Clustering-based subsystems,Catabolism of an unknown compound,CBSS-262316.1.peg.2929,Aldehyde dehydrogenase in hypothetical Actinobacterial gene cluster,SS02331,Aldehyde dehydrogenase in hypothetical Actinobacterial gene cluster,81.55,2.30E-190
Ga0242637_112210,Amino Acids and Derivatives,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis",Glutamine synthetase family protein in hypothetical Actinobacterial gene cluster,SS17953,Glutamine synthetase family protein in hypothetical Actinobacterial gene cluster,76.5,2.75E-167
Ga0242637_112211,Clustering-based subsystems,Catabolism of an unknown compound,CBSS-262316.1.peg.2929,"Transcriptional regulator, GntR family, in hypothetical Actinobacterial gene cluster",SS02337,"Transcriptional regulator, GntR family, in hypothetical Actinobacterial gene cluster",66.55,3.35E-47
Ga0242637_112212,Clustering-based subsystems,Catabolism of an unknown compound,CBSS-262316.1.peg.2929,Amino acid/metabolite permease in hypothetical Actinobacterial gene cluster,SS02332,Amino acid/metabolite permease in hypothetical Actinobacterial gene cluster,76.46666667,1.43E-172
Ga0242637_112212,unclassified,unclassified,Choline transport and metabolism,BAT1-like,SS08547,BAT1-like,70.925,5.75E-142
Ga0242637_112213,Experimental Subsystems,unclassified,271-Bsub,Hydrolase (HAD superfamily),SS18190,Hydrolase (HAD superfamily),68.93333333,4.67E-66
Ga0242637_112214,Amino Acids and Derivatives,Branched-chain amino acids,Valine degradation,Branched-chain amino acid aminotransferase (EC 2.6.1.42),SS16614,Branched-chain amino acid aminotransferase (EC 2.6.1.42),72.83333333,5.29E-128
Ga0242637_112215,Amino Acids and Derivatives,Branched-chain amino acids,Leucine Biosynthesis,3-isopropylmalate dehydrogenase (EC 1.1.1.85),SS16013,3-isopropylmalate dehydrogenase (EC 1.1.1.85),79.64285714,4.72E-139
Ga0242637_112216,Experimental Subsystems,unclassified,ZZ gjo scratch,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),SS17023,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),76.3,1.38E-197
Ga0242637_112217,Respiration,unclassified,Biogenesis of cytochrome c oxidases,"Putative Dyp-type peroxidase, associated with bacterial analog of Cox17 protein",SS20087,"Putative Dyp-type peroxidase, associated with bacterial analog of Cox17 protein",53.7,2.30E-99
Ga0242637_112218,Respiration,unclassified,Biogenesis of cytochrome c oxidases,"Copper metallochaperone, bacterial analog of Cox17 protein",SS01597,"Copper metallochaperone, bacterial analog of Cox17 protein",56.125,1.70E-20
Ga0242637_112220,"Cofactors, Vitamins, Prosthetic Groups, Pigments",Coenzyme A,Coenzyme A Biosynthesis,Ketol-acid reductoisomerase (EC 1.1.1.86),SS18472,Ketol-acid reductoisomerase (EC 1.1.1.86),87.68571429,3.29E-160
Ga0242637_112221,Amino Acids and Derivatives,Branched-chain amino acids,Branched-Chain Amino Acid Biosynthesis,Acetolactate synthase small subunit (EC 2.2.1.6),SS16232,Acetolactate synthase small subunit (EC 2.2.1.6),77.9,2.19E-60
Ga0242637_112222,Amino Acids and Derivatives,Branched-chain amino acids,Branched-Chain Amino Acid Biosynthesis,Acetolactate synthase large subunit (EC 2.2.1.6),SS16231,Acetolactate synthase large subunit (EC 2.2.1.6),82.8,3.20E-259
Ga0242637_112224,unclassified,unclassified,Iron-sulfur experimental,Dihydroxy-acid dehydratase (EC 4.2.1.9),SS01710,Dihydroxy-acid dehydratase (EC 4.2.1.9),87.66666667,3.52E-267
Ga0242637_112225,Clustering-based subsystems,"A hypothetical (YfcN) clustering with an L3 methyltransferase, SixA and AroC",CBSS-584.1.peg.2497,Phosphohistidine phosphatase SixA,SS02278,Phosphohistidine phosphatase SixA,57.4,4.78E-26
Ga0242637_112226,Sulfur Metabolism,Inorganic sulfur assimilation,Inorganic Sulfur Assimilation,Adenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.10),SS06679,Adenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.10),38.3,1.60E-06
Ga0242637_112226,Experimental Subsystems,unclassified,Superpathway of cysteine biosynthesis,Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8),SS19674,Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8),38.3,1.60E-06
Ga0242637_112228,Experimental Subsystems,unclassified,ZZ gjo scratch,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),SS17023,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),65.425,2.32E-72
Ga0242637_112231,Clustering-based subsystems,unclassified,Cell wall related cluster,Glycine-rich cell wall structural protein precursor,SS02821,Glycine-rich cell wall structural protein precursor,46.3,1.30E-19
Ga0242637_112232,Stress Response,Oxidative stress,Redox-dependent regulation of nucleus processes,NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13),SS19040,NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13),84.7,1.20E-191
Ga0242637_112233,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Asp and Asn",Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6),SS16497,Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6),76.95714286,8.19E-202
Ga0242637_112233,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Glu and Gln",Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7),SS17964,Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7),76.95714286,8.19E-202
Ga0242637_112234,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Asp and Asn",Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6),SS16495,Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6),79.3,3.20E-207
Ga0242637_112234,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Glu and Gln",Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7),SS17962,Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7),79.3,3.20E-207
Ga0242637_112235,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Asp and Asn",Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6),SS16499,Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6),69.9125,1.14E-24
Ga0242637_112235,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Glu and Gln",Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7),SS17965,Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7),69.9125,1.14E-24
Ga0242637_112236,Membrane Transport,ABC transporters,ABC transporter branched-chain amino acid (TC 3.A.1.4.1),Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1),SS00105,Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1),76.525,3.25E-109
Ga0242637_112237,Experimental Subsystems,unclassified,Transporters In Models,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1),SS00106,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1),71.96,1.76E-74
Ga0242637_112238,Carbohydrates,Central carbohydrate metabolism,Dehydrogenase complexes,"Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein",SS04204,"Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein",72.52,3.68E-141
Ga0242637_112239,unclassified,unclassified,CBSS-227321.4.peg.3751,Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1),SS00103,Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1),76.3,6.00E-83
Ga0242637_112240,Membrane Transport,ABC transporters,ABC transporter branched-chain amino acid (TC 3.A.1.4.1),Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1),SS00104,Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1),83.2,4.93E-101
Ga0242637_112241,Experimental Subsystems,unclassified,rRNA methylation in clusters,DNA ligase (EC 6.5.1.2),SS17075,DNA ligase (EC 6.5.1.2),72.28571429,7.43E-256
Ga0242637_112242,"Virulence, Disease and Defense",Resistance to antibiotics and toxic compounds,Copper homeostasis,ErfK/YbiS/YcfS/YnhG family protein,SS17326,ErfK/YbiS/YcfS/YnhG family protein,56.4,1.18E-71
Ga0242637_112243,RNA Metabolism,RNA processing and modification,Queuosine-Archaeosine Biosynthesis,Permease of the drug/metabolite transporter (DMT) superfamily,SS19397,Permease of the drug/metabolite transporter (DMT) superfamily,62.73333333,4.33E-45
Ga0242637_112244,Amino Acids and Derivatives,Branched-chain amino acids,Valine degradation,Probable acyl-CoA dehydrogenase (EC 1.3.99.3),SS19937,Probable acyl-CoA dehydrogenase (EC 1.3.99.3),71.08571429,5.66E-143
Ga0242637_112245,Amino Acids and Derivatives,Branched-chain amino acids,Valine degradation,Butyryl-CoA dehydrogenase (EC 1.3.99.2),SS16625,Butyryl-CoA dehydrogenase (EC 1.3.99.2),63.02,1.41E-89
Ga0242637_112248,RNA Metabolism,RNA processing and modification,tRNAmodification position 34,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61),SS21979,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61),77.76666667,8.17E-132
Ga0242637_112249,unclassified,unclassified,tRNA mods Archaea,Cysteine desulfurase (EC 2.8.1.7),SS16969,Cysteine desulfurase (EC 2.8.1.7),69.41666667,5.45E-125
Ga0242637_112251,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine fermentation,"Electron transfer flavoprotein, alpha subunit",SS17242,"Electron transfer flavoprotein, alpha subunit",75.81428571,1.11E-109
Ga0242637_112252,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine fermentation,"Electron transfer flavoprotein, beta subunit",SS17243,"Electron transfer flavoprotein, beta subunit",76.15,3.67E-88
Ga0242637_112253,Clustering-based subsystems,unclassified,EC699-706,FIG042796: Hypothetical protein,SS04835,FIG042796: Hypothetical protein,68.22,3.76E-24
Ga0242637_112254,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,Enoyl-CoA hydratase (EC 4.2.1.17),SS17314,Enoyl-CoA hydratase (EC 4.2.1.17),79.16,3.20E-96
Ga0242637_112256,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,Glycogen debranching enzyme (EC 3.2.1.-),SS18013,Glycogen debranching enzyme (EC 3.2.1.-),66.9,1.12E-205
Ga0242637_112257,Carbohydrates,Di- and oligosaccharides,Maltose and Maltodextrin Utilization,Glycogen phosphorylase (EC 2.4.1.1),SS18014,Glycogen phosphorylase (EC 2.4.1.1),73.8,0
Ga0242637_112258,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,Alpha-amylase (EC 3.2.1.1),SS16376,Alpha-amylase (EC 3.2.1.1),73.975,4.01E-266
Ga0242637_112259,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,Trehalose synthase (EC 5.4.99.16),SS13933,Trehalose synthase (EC 5.4.99.16),77.98888889,7.00E-259
Ga0242637_112260,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)",SS15895,"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)",47.8,5.00E-96
Ga0242637_112261,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)",SS15895,"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)",67.51666667,1.15E-260
Ga0242637_112262,Experimental Subsystems,unclassified,Sugar catabolome in Shewanella species,Phosphoglucomutase (EC 5.4.2.2),SS11887,Phosphoglucomutase (EC 5.4.2.2),81.42857143,1.71E-237
Ga0242637_112265,Experimental Subsystems,unclassified,Uncharacterized metabolite ABC transporter in Enterobacteriaceae YbbAP,COG3118: Thioredoxin domain-containing protein EC-YbbN,SS16688,COG3118: Thioredoxin domain-containing protein EC-YbbN,60.05,1.75E-59
Ga0242637_112268,Experimental Subsystems,unclassified,CobW,putative periplasmic protein kinase ArgK and related GTPases of G3E family,SS05684,putative periplasmic protein kinase ArgK and related GTPases of G3E family,85.9,1.55E-117
Ga0242637_112269,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,3-ketoacyl-CoA thiolase (EC 2.3.1.16),SS16014,3-ketoacyl-CoA thiolase (EC 2.3.1.16),90,4.40E-173
Ga0242637_112269,Carbohydrates,One-carbon Metabolism,Serine-glyoxylate cycle,Acetyl-CoA acetyltransferase (EC 2.3.1.9),SS16245,Acetyl-CoA acetyltransferase (EC 2.3.1.9),90,4.40E-173
Ga0242637_112270,Carbohydrates,Central carbohydrate metabolism,"Ethylmalonyl-CoA pathway of C2 assimilation, GJO",Ethylmalonyl-CoA epimerase,SS17331,Ethylmalonyl-CoA epimerase,80.55714286,5.94E-54
Ga0242637_112270,Carbohydrates,Organic acids,Propionyl-CoA to Succinyl-CoA Module,Methylmalonyl-CoA epimerase (EC 5.1.99.1),SS10162,Methylmalonyl-CoA epimerase (EC 5.1.99.1),80.55714286,5.94E-54
Ga0242637_112271,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,Glucoamylase (EC 3.2.1.3),SS17900,Glucoamylase (EC 3.2.1.3),53.9,7.30E-103
Ga0242637_112272,Carbohydrates,Glycoside hydrolases,Predicted carbohydrate hydrolases,Peptidoglycan N-acetylglucosamine deacetylase (EC 3.5.1.-),SS19378,Peptidoglycan N-acetylglucosamine deacetylase (EC 3.5.1.-),36.3,3.50E-29
Ga0242637_112273,Clustering-based subsystems,unclassified,CBSS-1352.1.peg.856,"Transcriptional regulator, PadR family",SS21140,"Transcriptional regulator, PadR family",68.26,5.44E-52
Ga0242637_112274,unclassified,unclassified,YjeF AMarbaix bis,ABC transporter ATP-binding protein,SS16131,ABC transporter ATP-binding protein,74.9,1.23E-80
Ga0242637_112277,Carbohydrates,Central carbohydrate metabolism,"Ethylmalonyl-CoA pathway of C2 assimilation, GJO","Crotonyl-CoA carboxylase/reductase, ethylmalonyl-CoA producing",SS05090,"Crotonyl-CoA carboxylase/reductase, ethylmalonyl-CoA producing",87.8,8.67E-211
Ga0242637_112280,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35),SS16000,3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35),72.2,1.00E-229
Ga0242637_112280,"Fatty Acids, Lipids, and Isoprenoids",unclassified,Polyhydroxybutyrate metabolism,3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157),SS16005,3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157),72.2,1.00E-229
Ga0242637_112284,Carbohydrates,Central carbohydrate metabolism,"Ethylmalonyl-CoA pathway of C2 assimilation, GJO","Ethylmalonyl-CoA mutase, methylsuccinyl-CoA-forming",SS05091,"Ethylmalonyl-CoA mutase, methylsuccinyl-CoA-forming",82.75,1.90E-278
Ga0242637_112285,Secondary Metabolism,"Bacterial cytostatics, differentiation factors and antibiotics",2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone and other bacterial morphogens,Inducers of aerial mycelium formation biosynthesis protein BldG,SS00029,Inducers of aerial mycelium formation biosynthesis protein BldG,44.1,1.40E-10
Ga0242637_112286,Cell Wall and Capsule,unclassified,UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),SS21350,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),75.23333333,5.67E-138
Ga0242637_112287,Carbohydrates,Sugar alcohols,Propanediol utilization,Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17),SS16871,Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17),78.96666667,4.00E-68
Ga0242637_112289,Experimental Subsystems,unclassified,Transporters In Models,ATP synthase epsilon chain (EC 3.6.3.14),SS05272,ATP synthase epsilon chain (EC 3.6.3.14),68.04,8.60E-18
Ga0242637_112291,Respiration,Electron donating reactions,Respiratory dehydrogenases 1,NADH dehydrogenase (EC 1.6.99.3),SS19025,NADH dehydrogenase (EC 1.6.99.3),76.53333333,1.51E-177
Ga0242637_112292,Experimental Subsystems,unclassified,Transporters In Models,ATP synthase beta chain (EC 3.6.3.14),SS05269,ATP synthase beta chain (EC 3.6.3.14),87.975,3.38E-225
Ga0242637_112293,Experimental Subsystems,unclassified,Transporters In Models,ATP synthase gamma chain (EC 3.6.3.14),SS05273,ATP synthase gamma chain (EC 3.6.3.14),67.4375,5.59E-91
Ga0242637_112294,Experimental Subsystems,unclassified,Transporters In Models,ATP synthase alpha chain (EC 3.6.3.14),SS05266,ATP synthase alpha chain (EC 3.6.3.14),80.14,1.00E-232
Ga0242637_112295,Experimental Subsystems,unclassified,Transporters In Models,ATP synthase delta chain (EC 3.6.3.14),SS05271,ATP synthase delta chain (EC 3.6.3.14),58.18,4.28E-49
Ga0242637_112296,Experimental Subsystems,unclassified,Transporters In Models,ATP synthase B chain (EC 3.6.3.14),SS05267,ATP synthase B chain (EC 3.6.3.14),99.5,1.20E-77
Ga0242637_112297,Experimental Subsystems,unclassified,Transporters In Models,ATP synthase C chain (EC 3.6.3.14),SS16173,ATP synthase C chain (EC 3.6.3.14),83.225,1.10E-16
Ga0242637_112298,Experimental Subsystems,unclassified,rRNA methylation in clusters,ATP synthase A chain (EC 3.6.3.14),SS05265,ATP synthase A chain (EC 3.6.3.14),63.56,6.00E-63
Ga0242637_112301,unclassified,unclassified,tsaC cluster,Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-),SS21460,Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-),64.5,6.75E-81
Ga0242637_112302,unclassified,unclassified,tsaC cluster,Serine hydroxymethyltransferase (EC 2.1.2.1),SS20574,Serine hydroxymethyltransferase (EC 2.1.2.1),76.8875,1.50E-159
Ga0242637_112303,RNA Metabolism,RNA processing and modification,tRNA modification yeast mitochondrial,Sua5 YciO YrdC YwlC family protein,SS20744,Sua5 YciO YrdC YwlC family protein,78.75,3.40E-62
Ga0242637_112303,unclassified,unclassified,tsaC cluster,"YrdC/Sua5 family protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA",SS14273,"YrdC/Sua5 family protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA",60.56666667,1.30E-62
Ga0242637_112304,Membrane Transport,TRAP transporters,TRAP Transporter unknown substrate 9,"TRAP transporter solute receptor, TAXI family precursor",SS20975,"TRAP transporter solute receptor, TAXI family precursor",65.6,1.58E-92
Ga0242637_112305,Membrane Transport,TRAP transporters,TRAP Transporter unknown substrate 9,"TRAP-type uncharacterized transport system, fused permease component",SS02674,"TRAP-type uncharacterized transport system, fused permease component",63.63333333,4.67E-178
Ga0242637_112307,unclassified,unclassified,tsaC cluster,Peptide chain release factor 1,SS19366,Peptide chain release factor 1,79.6,3.50E-138
Ga0242637_112308,unclassified,unclassified,Ribospme LSU Symbiont,LSU ribosomal protein L31p,SS18537,LSU ribosomal protein L31p,87.41666667,1.61E-28
Ga0242637_112309,RNA Metabolism,Transcription,Transcription factors bacterial,Transcription termination factor Rho,SS13705,Transcription termination factor Rho,81.225,0.0023
Ga0242637_112310,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Threonine and Homoserine Biosynthesis,Homoserine kinase (EC 2.7.1.39),SS18142,Homoserine kinase (EC 2.7.1.39),60.56,1.55E-60
Ga0242637_112311,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Threonine and Homoserine Biosynthesis,Threonine synthase (EC 4.2.3.1),SS13549,Threonine synthase (EC 4.2.3.1),79.54285714,3.01E-151
Ga0242637_112312,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Threonine and Homoserine Biosynthesis,Homoserine dehydrogenase (EC 1.1.1.3),SS18141,Homoserine dehydrogenase (EC 1.1.1.3),75.62857143,5.29E-158
Ga0242637_112313,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine Biosynthesis DAP Pathway,Diaminopimelate decarboxylase (EC 4.1.1.20),SS17158,Diaminopimelate decarboxylase (EC 4.1.1.20),74.51666667,9.12E-179
Ga0242637_112318,Experimental Subsystems,unclassified,Transporters In Models,"TRAP-type C4-dicarboxylate transport system, periplasmic component",SS02673,"TRAP-type C4-dicarboxylate transport system, periplasmic component",55.84,8.60E-68
Ga0242637_112319,Cell Wall and Capsule,Capsular and extracellular polysacchrides,Sialic Acid Metabolism,"TRAP-type transport system, small permease component, predicted N-acetylneuraminate transporter",SS12063,"TRAP-type transport system, small permease component, predicted N-acetylneuraminate transporter",55.4,1.05E-30
Ga0242637_112319,Experimental Subsystems,unclassified,Transporters In Models,"TRAP-type C4-dicarboxylate transport system, small permease component",SS20986,"TRAP-type C4-dicarboxylate transport system, small permease component",45.2,2.90E-30
Ga0242637_112320,Experimental Subsystems,unclassified,Transporters In Models,"TRAP-type C4-dicarboxylate transport system, large permease component",SS02672,"TRAP-type C4-dicarboxylate transport system, large permease component",67.1375,6.63E-116
Ga0242637_112321,Experimental Subsystems,unclassified,Transporters In Models,Na+/H+ antiporter NhaA type,SS08535,Na+/H+ antiporter NhaA type,58.37142857,1.70E-90
Ga0242637_112322,Carbohydrates,unclassified,Sugar utilization in Thermotogales,Gluconokinase (EC 2.7.1.12),SS17903,Gluconokinase (EC 2.7.1.12),59.26666667,2.53E-05
Ga0242637_112323,Carbohydrates,unclassified,Sugar utilization in Thermotogales,Gluconokinase (EC 2.7.1.12),SS17903,Gluconokinase (EC 2.7.1.12),60.025,4.95E-80
Ga0242637_112324,Carbohydrates,unclassified,Sugar utilization in Thermotogales,D-mannonate oxidoreductase (EC 1.1.1.57),SS17058,D-mannonate oxidoreductase (EC 1.1.1.57),76.325,3.25E-21
Ga0242637_112325,Carbohydrates,unclassified,Sugar utilization in Thermotogales,Uronate isomerase (EC 5.3.1.12),SS21499,Uronate isomerase (EC 5.3.1.12),70.05,4.33E-164
Ga0242637_112326,Carbohydrates,unclassified,Sugar utilization in Thermotogales,Novel D-mannonate dehydrogenase (EC 1.1.1.57),SS19137,Novel D-mannonate dehydrogenase (EC 1.1.1.57),72.975,6.25E-150
Ga0242637_112327,Carbohydrates,Monosaccharides,Unknown pentose utilization,Ribose operon repressor,SS04776,Ribose operon repressor,55.2,6.60E-87
